,WELL_ID,X_BHP,Y_BHP,h,V
275,110065700,451731,7602558,8,1381401648.0
276,110065800,451026,7601763,13,1842033225.5
277,110065900,450185,7600903,11,2515210175.5
278,110066000,448948,7599998,13,1842033225.5
279,110066100,448695,7599574,12,2363950158.0
280,110066200,447863,7598696,12,2363950158.0
281,110066300,446900,7597823,12,2363950158.0
282,110066400,446050,7596873,11,2515210175.5
283,110067800,458631,7609767,14,2620897251.0
284,110067900,457558,7608982,10,1868680390.0
285,110068000,459524,7610877,13,1842033225.5
286,110068100,456341,7607597,9,1832158764.0
287,110068200,455491,7606735,10,1868680390.0
288,110068300,456801,7608269,8,1381401648.0
289,110068400,453993,7605028,12,2363950158.0
290,110068500,453061,7604299,13,1842033225.5
291,110068700,451222,7602394,10,1868680390.0
292,110068800,450876,7601828,12,2363950158.0
293,110068900,450114,7601024,12,2363950158.0
294,110069200,447758,7599063,10,1868680390.0
295,110069300,446790,7598135,10,1868680390.0
296,110069400,445911,7597162,8,1381401648.0
297,110070100,448514,7599027,9,1832158764.0
298,110070200,448150,7598901,8,1381401648.0
299,110070300,448269,7599251,12,2363950158.0
300,110070400,447954,7599223,10,1868680390.0
301,110070900,456563,7608695,10,1868680390.0
302,110071000,457504,7609232,14,2620897251.0
303,110071100,456607,7608503,12,2363950158.0
304,110071200,456577,7608261,13,1842033225.5
305,110071800,451993,7603613,12,2363950158.0
306,110071900,451303,7602703,9,1832158764.0
307,110072208,445759,7598597,12,2363950158.0
308,110072400,446040,7598264,13,1842033225.5
309,110073600,457575,7608794,9,1832158764.0
310,110073700,458956,7610542,11,2515210175.5
311,110073800,457542,7609397,9,1832158764.0
312,110073900,458882,7610752,9,1832158764.0
313,110074000,456543,7608435,12,2363950158.0
314,110074600,451821,7604060,10,1868680390.0
315,110074700,450948,7602757,13,1842033225.5
316,110075100,446011,7598395,9,1832158764.0
317,110075200,446089,7597883,14,2620897251.0
318,110076500,459674,7612068,12,2363950158.0
319,110076600,458838,7610946,12,2363950158.0
320,110076700,457399,7609652,11,2515210175.5
321,110076800,456645,7608316,8,1381401648.0
322,110076900,456505,7608612,12,2363950158.0
323,110077500,449807,7602145,9,1832158764.0
324,110077600,451006,7603016,11,2515210175.5
325,110110200,463618,7603520,10,1868680390.0
326,110111000,454854,7596219,8,1381401648.0
327,110113200,452568,7596877,11,2515210175.5
328,110113400,451885,7595386,11,2515210175.5
329,110113600,451862,7595720,11,2515210175.5
330,110115700,463025,7603079,14,2620897251.0
331,110116300,456363,7598102,9,1832158764.0
332,110118700,450596,7594412,9,1832158764.0
333,110125100,451492,7596616,13,1842033225.5
334,110127200,453131,7598444,8,1381401648.0
335,110127900,449054,7594108,14,2620897251.0
336,110128800,448503,7592442,13,1842033225.5
337,110129800,456612,7602131,13,1842033225.5
338,110129900,455262,7600844,9,1832158764.0
339,110130100,456231,7601475,11,2515210175.5
340,110130700,448849,7594319,10,1868680390.0
341,110132600,454962,7600957,9,1832158764.0
342,110132800,455524,7601354,14,2620897251.0
343,110133300,449470,7595431,9,1832158764.0
344,110133400,448600,7594531,9,1832158764.0
345,110133500,447633,7593418,13,1842033225.5
346,110135300,456276,7602659,8,1381401648.0
347,110135400,454636,7601097,13,1842033225.5
348,110135500,454141,7600516,8,1381401648.0
349,110136100,449194,7595563,14,2620897251.0
350,110136200,448401,7594760,8,1381401648.0
351,110136300,447506,7594050,12,2363950158.0
352,110138000,456899,7603671,12,2363950158.0
353,110138100,455863,7602850,13,1842033225.5
354,110138200,454436,7601306,12,2363950158.0
355,110138300,453827,7600644,10,1868680390.0
356,110138900,449057,7595874,13,1842033225.5
357,110139100,447314,7594352,14,2620897251.0
358,110141000,456482,7603804,13,1842033225.5
359,110141200,454205,7601582,9,1832158764.0
360,110142100,447693,7595224,9,1832158764.0
361,110143800,456915,7604546,9,1832158764.0
362,110143900,455625,7603332,14,2620897251.0
363,110144000,455658,7602973,10,1868680390.0
364,110144100,454689,7602458,10,1868680390.0
365,110144200,452817,7600455,14,2620897251.0
366,110144600,450524,7598245,11,2515210175.5
367,110144700,449678,7597292,11,2515210175.5
368,110144800,449685,7596840,11,2515210175.5
369,110144900,448380,7596017,8,1381401648.0
370,110145000,446093,7596724,11,2515210175.5
371,110147000,455372,7603492,14,2620897251.0
372,110147100,455316,7603408,12,2363950158.0
373,110147200,454532,7602722,9,1832158764.0
374,110147300,452481,7600533,10,1868680390.0
375,110147700,450689,7598782,11,2515210175.5
376,110147800,449635,7597751,11,2515210175.5
377,110147900,449144,7597067,14,2620897251.0
378,110148000,448319,7596393,11,2515210175.5
379,110148100,447550,7595516,8,1381401648.0
