WELL_ID,X_BHP,Y_BHP,h
110302600,453548,7594990,9
110303300,449277,7593874,14
110303400,447789,7592413,11
110303500,447652,7592702,8
110303600,449411,7593752,12
110304500,446126,7598138,14
110304800,450751,7600511,8
110304900,449313,7601951,9
110305000,449594,7602155,13
110305400,451152,7602319,11
110305500,453788,7605256,8
110305600,453439,7605325,8
110305700,450471,7601844,12
110305800,454593,7606107,10
110305900,455142,7607017,13
110306000,456196,7605797,13
110306100,453708,7605424,11
110306200,455588,7607242,9
110306300,456803,7606878,8
110307700,464218,7609303,9
110307800,464392,7612888,8
110400200,456776,7600761,12
110401000,447708,7595659,9
110401100,448172,7595501,13
110402500,448896,7597074,8
110402600,448811,7597315,11
110402700,448416,7597899,11
110402800,448485,7597791,10
110402900,448525,7597501,11
110403000,451627,7597471,12
110403100,450945,7599913,13
110403400,448580,7597948,8
110403500,448601,7598216,13
110403700,448093,7599312,14
110403800,447705,7596731,14
110403900,448246,7598979,12
110404000,448187,7596371,13
110404100,446614,7595774,10
110405100,453092,7598238,10
110408100,448344,7598453,10
110408200,448113,7598415,12
110408300,448012,7596419,9
110408600,446662,7597821,10
110409100,447827,7596638,13
110409300,451214,7599602,14
110410000,445909,7597255,12
110411000,454343,7597053,12
110411100,447061,7595758,12
110411300,450674,7600163,14
110411500,450757,7600232,13
110411600,454495,7601488,14
110413200,452718,7596999,12
110413600,452749,7596487,10
110415300,456768,7600217,14
110416200,456796,7600215,10
110416400,455327,7598671,9
110416600,453998,7597451,11
110418200,456614,7599643,14
110418300,455541,7598958,12
110418500,453626,7597451,11
110420000,446532,7596181,14
110420100,447101,7597624,10
110420200,456691,7600525,10
110420300,455961,7599878,9
110420400,454958,7599163,10
110421200,451270,7599875,14
110421300,451442,7597237,12
110421400,456824,7602631,14
110422300,453790,7598770,9
110422400,455873,7600148,14
110422500,453884,7598392,9
110422700,453296,7597855,14
110422800,452405,7597168,8
110424700,456675,7601235,11
110425000,451926,7597305,8
110425100,452314,7597343,14
110425200,452115,7597136,8
110427600,452387,7597212,10
110427700,451154,7596751,14
110427800,450351,7596324,8
110428100,449737,7592985,8
110430500,450362,7595770,8
110432700,455336,7601422,14
110433100,450826,7599147,9
110433200,449936,7596421,9
110435400,455891,7601396,12
110438400,453142,7600900,8
110438500,456117,7601091,12
110439100,456760,7601132,9
110441200,454261,7601525,9
110441300,453861,7601591,8
110442200,448412,7595947,12
110443500,447472,7593409,12
110444200,452644,7601595,9
110444600,450819,7598832,12
110444800,449658,7597086,8
110445000,446469,7595738,11
110445200,452073,7596900,13
110447300,453734,7601868,8
110447700,450469,7598883,10
110448100,447259,7595538,12
110450400,452811,7601766,13
110450700,450447,7599219,8
110450900,448414,7597475,12
110451100,447197,7595706,12
110451200,447993,7596594,9
110453500,452417,7601874,14
110453800,450441,7599043,12
110454200,446929,7595843,13
110456700,450649,7599974,8
110456800,449920,7599265,10
110457100,446569,7596013,8
110460100,448909,7598726,8
110460200,447345,7597518,10
110460300,447185,7597281,11
110462800,450401,7600795,11
110463200,447005,7597818,12
110463300,447127,7597432,14
110463500,452546,7601806,13
110463900,454862,7601196,12
110464400,449839,7597443,10
110465900,450279,7600870,9
110466300,446876,7597908,12
110466400,446949,7597670,13
110466700,450873,7600509,13
110468900,450140,7600946,14
110469400,446747,7597679,14
110472800,450521,7600690,11
110478900,449991,7601015,13
110494900,448999,7596975,11
110499300,447007,7599281,9
110502600,451347,7601406,8
110503000,446388,7597976,11
110529000,457115,7603479,9
110715300,463985,7609344,14
110715400,464732,7613004,11
110720500,445439,7598877,14
110721200,445153,7598969,8
110801100,441396,7596835,9
110802000,439640,7593266,12
110802400,441357,7595810,14
110803100,441049,7595844,11
110803300,441447,7592661,10
110803800,440671,7596752,11
110804200,440487,7593551,11
110804600,440196,7593464,11
110805200,440066,7593353,11
110805800,439907,7593380,12
110806200,440274,7596674,14
110806400,439752,7593334,14
110807000,439301,7593185,12
110807600,439569,7593280,12
