,WELL_ID,X_TOP,Y_TOP,X_BHP,Y_BHP,h,V
178,110043700,457208,7605429,457282,7606863,11,2515210175.5
179,110043800,456244,7604144,457158,7604989,10,1868680390.0
180,110043900,455960,7603914,455558,7603471,12,2363950158.0
181,110044100,453885,7601875,454693,7602719,12,2363950158.0
182,110044200,453304,7601194,453966,7601864,13,1842033225.5
183,110044400,451673,7599526,452410,7600242,11,2515210175.5
184,110044500,450534,7597981,449834,7597289,9,1832158764.0
185,110044600,449968,7597870,450910,7598851,13,1842033225.5
186,110044700,449231,7597045,449979,7597836,10,1868680390.0
187,110044800,448292,7596113,449062,7596787,9,1832158764.0
188,110044900,447661,7595515,448410,7596262,10,1868680390.0
189,110045000,447020,7594744,447640,7595408,9,1832158764.0
190,110046200,463078,7611366,463198,7612486,10,1868680390.0
191,110046900,456026,7604321,456723,7605002,13,1842033225.5
192,110047000,455766,7604255,455227,7603522,13,1842033225.5
193,110047200,453687,7602070,454284,7602783,11,2515210175.5
194,110047300,452959,7601148,453618,7601903,13,1842033225.5
195,110047500,451365,7599672,452045,7600400,11,2515210175.5
196,110047600,450461,7598863,451184,7599684,13,1842033225.5
197,110047700,449670,7597959,450587,7598886,8,1381401648.0
198,110047800,449062,7597313,449674,7598038,11,2515210175.5
199,110047900,448333,7596503,449064,7597185,11,2515210175.5
200,110048000,447468,7595750,448147,7596429,14,2620897251.0
201,110048100,446837,7595003,447445,7595614,14,2620897251.0
202,110049200,463730,7610727,464336,7611344,10,1868680390.0
203,110049900,455841,7604571,456869,7605343,8,1381401648.0
204,110050000,455455,7604132,454923,7603847,12,2363950158.0
205,110050100,454284,7602966,455093,7603803,10,1868680390.0
206,110050300,452902,7601622,453567,7602259,12,2363950158.0
207,110050400,451994,7600714,452801,7601438,14,2620897251.0
208,110050500,452007,7600676,451593,7600277,8,1381401648.0
209,110050600,450495,7599197,451085,7599791,13,1842033225.5
210,110050700,449766,7598473,450573,7599232,10,1868680390.0
211,110050800,448801,7597429,449616,7598427,10,1868680390.0
212,110050900,448211,7596804,448921,7597485,11,2515210175.5
213,110051000,447162,7595877,447890,7596587,13,1842033225.5
214,110051100,446567,7595169,447158,7595761,10,1868680390.0
215,110052300,460541,7609893,460611,7608790,10,1868680390.0
216,110052900,457055,7605383,456910,7606254,14,2620897251.0
217,110053000,455626,7604752,456441,7605568,11,2515210175.5
218,110053100,455664,7604550,454841,7604128,9,1832158764.0
219,110053200,454074,7603214,454840,7603985,13,1842033225.5
220,110053400,452527,7601672,453260,7602364,13,1842033225.5
221,110053500,451774,7600904,452331,7601474,10,1868680390.0
222,110053700,450139,7599276,450775,7599909,13,1842033225.5
223,110053800,449256,7598364,450014,7599229,9,1832158764.0
224,110053900,448577,7597692,449188,7598453,8,1381401648.0
225,110054000,447740,7596705,448399,7597545,10,1868680390.0
226,110054100,447030,7596184,447712,7596865,12,2363950158.0
227,110054200,446402,7595407,446871,7595866,12,2363950158.0
228,110056000,455099,7605305,455691,7605924,11,2515210175.5
229,110056100,456151,7605913,456982,7606655,11,2515210175.5
230,110056300,453881,7603410,453705,7602433,10,1868680390.0
231,110056500,451621,7601184,452356,7601916,11,2515210175.5
232,110056800,449975,7599428,449307,7598640,9,1832158764.0
233,110056900,449191,7598745,448526,7598032,10,1868680390.0
234,110057000,448393,7597973,447669,7597258,11,2515210175.5
235,110057100,447532,7597090,446598,7596145,14,2620897251.0
236,110058500,460209,7609905,459986,7608416,12,2363950158.0
237,110058800,458674,7607389,459570,7606788,11,2515210175.5
238,110058900,455730,7607338,454951,7607655,9,1832158764.0
239,110059000,457721,7608740,458602,7609419,13,1842033225.5
240,110059200,454992,7605542,455638,7606221,13,1842033225.5
241,110059300,455073,7605057,454497,7604460,10,1868680390.0
242,110059400,454249,7604218,453706,7603671,12,2363950158.0
243,110059500,453565,7603552,453089,7603047,11,2515210175.5
244,110059600,452934,7602825,452348,7602108,8,1381401648.0
245,110059700,451876,7602157,451231,7601537,9,1832158764.0
246,110059800,451171,7601198,450514,7600386,11,2515210175.5
247,110059900,450410,7600351,450024,7599608,9,1832158764.0
248,110060000,449819,7599700,449049,7599032,10,1868680390.0
249,110060100,448886,7598829,448126,7598107,11,2515210175.5
250,110060200,447951,7598035,447262,7597323,11,2515210175.5
251,110060300,447174,7597160,446490,7596474,13,1842033225.5
252,110061800,458059,7608453,459099,7609902,9,1832158764.0
253,110061900,457106,7607790,457449,7609034,8,1381401648.0
254,110062000,457173,7607491,457095,7606485,8,1381401648.0
255,110062100,456535,7606941,455645,7606193,8,1381401648.0
256,110062200,454825,7605593,455426,7606286,10,1868680390.0
257,110062300,454950,7605353,454155,7604473,8,1381401648.0
258,110062400,454145,7604555,453688,7603884,12,2363950158.0
259,110062500,453444,7603848,452601,7603330,10,1868680390.0
260,110062600,452730,7603139,451926,7602331,8,1381401648.0
261,110062700,451832,7602336,451181,7601693,14,2620897251.0
262,110062800,450853,7601318,450299,7600802,10,1868680390.0
263,110062900,450275,7600688,449491,7600099,9,1832158764.0
264,110063000,449438,7599751,449046,7599404,10,1868680390.0
265,110063100,448943,7599349,448045,7598455,10,1868680390.0
266,110063200,447867,7598377,447167,7597680,8,1381401648.0
267,110063300,447165,7597573,446393,7596798,12,2363950158.0
268,110064900,457676,7608377,458656,7609317,13,1842033225.5
269,110065100,456889,7607759,455919,7606956,9,1832158764.0
270,110065200,456194,7607023,455472,7606512,12,2363950158.0
271,110065300,454593,7605663,455117,7606417,10,1868680390.0
272,110065400,454635,7605464,454073,7604792,14,2620897251.0
273,110065500,453882,7604708,453279,7604102,11,2515210175.5
274,110065600,453103,7603969,452354,7603325,11,2515210175.5
275,110065700,452344,7603179,451731,7602558,8,1381401648.0
276,110065800,451714,7602426,451026,7601763,13,1842033225.5
277,110065900,450917,7601583,450185,7600903,11,2515210175.5
278,110066000,450116,7600774,448948,7599998,13,1842033225.5
279,110066100,449219,7599980,448695,7599574,12,2363950158.0
280,110066200,448728,7599523,447863,7598696,12,2363950158.0
281,110066300,447608,7598539,446900,7597823,12,2363950158.0
282,110066400,446769,7597604,446050,7596873,11,2515210175.5
283,110067800,459283,7610443,458631,7609767,14,2620897251.0
284,110067900,458269,7609753,457558,7608982,10,1868680390.0
285,110068000,458495,7609858,459524,7610877,13,1842033225.5
286,110068100,456805,7608083,456341,7607597,9,1832158764.0
287,110068200,456155,7607407,455491,7606735,10,1868680390.0
288,110068300,456063,7607525,456801,7608269,8,1381401648.0
289,110068400,454593,7605867,453993,7605028,12,2363950158.0
290,110068500,453722,7604986,453061,7604299,13,1842033225.5
291,110068700,452336,7603462,451222,7602394,10,1868680390.0
292,110068800,451585,7602523,450876,7601828,12,2363950158.0
293,110068900,450798,7601680,450114,7601024,12,2363950158.0
294,110069200,448624,7599830,447758,7599063,10,1868680390.0
295,110069300,447516,7598877,446790,7598135,10,1868680390.0
296,110069400,446542,7597786,445911,7597162,8,1381401648.0
297,110070100,448470,7598989,448514,7599027,9,1832158764.0
298,110070200,448146,7598870,448150,7598901,8,1381401648.0
299,110070300,448242,7599170,448269,7599251,12,2363950158.0
300,110070400,447991,7599138,447954,7599223,10,1868680390.0
