WELL_ID,X_TOP,Y_TOP,X_BHP,Y_BHP,h
110139100,448123,7595076,447314,7594352,14
110141000,455664,7602793,456482,7603804,13
110141200,455015,7602320,454205,7601582,9
110142100,447099,7594641,447693,7595224,9
110143800,456334,7604005,456915,7604546,9
110143900,456218,7604000,455625,7603332,14
110144000,454945,7602620,455658,7602973,10
110144100,454085,7601862,454689,7602458,10
110144200,453576,7601220,452817,7600455,14
110144600,450027,7597676,450524,7598245,11
110144700,449420,7597020,449678,7597292,11
110144800,448632,7596128,449685,7596840,11
110144900,447788,7595402,448380,7596017,8
110145000,446413,7595678,446093,7596724,11
110147000,455851,7604016,455372,7603492,14
110147100,454806,7602915,455316,7603408,12
110147200,453953,7602153,454532,7602722,9
110147300,453223,7601284,452481,7600533,10
110147700,450008,7598085,450689,7598782,11
110147800,449202,7597250,449635,7597751,11
110147900,448431,7596376,449144,7597067,14
110148000,447552,7595618,448319,7596393,11
110148100,446891,7594849,447550,7595516,8
110150300,453196,7601687,452558,7601028,8
110150500,452068,7600573,452842,7601205,9
110150700,449649,7598140,450479,7598985,11
110150800,448985,7597444,449612,7598197,12
110150900,448117,7596494,448873,7597221,8
110151000,447347,7595846,448058,7596549,12
110151100,446797,7595188,447323,7595714,11
110153500,451862,7600786,452697,7601558,8
110153800,449577,7598501,450295,7599304,13
110153900,448774,7597723,449437,7598455,9
110154000,447990,7596797,448638,7597447,10
110154100,447095,7596015,447712,7596628,10
110154200,446510,7595850,446240,7596810,12
110156500,451696,7601051,452352,7601701,14
110156700,450002,7599374,450523,7600002,13
110157000,448385,7597752,447621,7596980,11
110157100,447408,7596754,446645,7595988,9
110159300,454579,7604352,455494,7604934,10
110159500,453578,7603821,452757,7603048,8
110159600,453084,7602762,452499,7602069,9
110159700,452232,7602046,451572,7601374,8
110159800,451419,7601181,450990,7600738,10
110160000,449851,7599523,449239,7599000,11
110160100,449102,7598832,448426,7598143,12
110160200,448231,7598021,447521,7597312,11
110160300,447421,7597207,446542,7596310,9
110162300,454356,7604563,454949,7605152,14
110162600,452782,7602877,452195,7602172,13
110162800,451119,7601363,450395,7600692,11
110162900,450365,7600563,449688,7599903,11
110163100,448802,7599032,448088,7598315,11
110163200,447919,7598220,447232,7597526,8
110163300,447160,7597355,446439,7596630,13
110165400,454192,7604814,454719,7605348,14
110165600,453080,7604224,452256,7603547,10
110165700,452514,7603135,451813,7602432,10
110166100,449455,7599990,448772,7599461,12
110166200,448669,7599287,447899,7598524,13
110166300,447747,7598471,447058,7597776,8
110166400,447053,7597677,446333,7596950,14
110168500,453176,7604213,453919,7604973,11
110169000,449934,7600942,448616,7600233,11
110169100,449374,7600342,448389,7599906,12
110169200,448515,7599560,447837,7598888,14
110169300,447557,7598708,446845,7597981,12
110169400,446685,7597712,445963,7597010,9
110173900,457083,7609614,455995,7608947,10
110174000,455715,7608033,456561,7608887,13
110175200,447606,7599282,448319,7599850,9
110176500,458977,7610887,459667,7611880,10
110176800,457117,7609455,456621,7608954,13
110202900,459120,7610692,459627,7611575,8
110300800,461428,7604456,461735,7603934,14
110300900,461322,7604337,461537,7603842,12
110301000,461305,7603794,461196,7604973,14
110301100,461875,7604842,462262,7604283,14
110301200,461590,7604564,461995,7604067,9
110301700,456743,7601691,456230,7600978,13
110301800,456741,7602004,456306,7601256,10
110302100,457992,7599126,458847,7599995,10
110302400,453017,7596063,453756,7595245,9
110302600,452869,7595687,453548,7594990,9
110303300,450346,7594914,449277,7593874,14
110303400,448941,7593513,447789,7592413,11
110303500,449026,7593798,447652,7592702,8
110303600,450400,7594732,449411,7593752,12
110304500,446945,7598960,446126,7598138,14
110304800,450441,7600123,450751,7600511,8
110304900,449926,7601310,449313,7601951,9
110305000,450268,7601427,449594,7602155,13
110305400,450338,7601497,451152,7602319,11
110305500,453136,7604592,453788,7605256,8
110305600,452481,7604020,453439,7605325,8
110305700,450011,7602070,450471,7601844,12
110305800,454150,7605514,454593,7606107,10
110305900,454685,7606142,455142,7607017,13
110306000,455327,7605110,456196,7605797,13
110306100,454468,7606137,453708,7605424,11
110306200,455219,7606606,455588,7607242,9
110306300,456015,7606089,456803,7606878,8
110307700,464235,7610634,464218,7609303,9
110307800,464134,7611944,464392,7612888,8
110400200,455734,7599725,456776,7600761,12
110401000,446956,7594800,447708,7595659,9
110401100,447164,7594566,448172,7595501,13
110402500,448346,7596555,448896,7597074,8
110402600,448156,7596697,448811,7597315,11
110402700,447588,7597091,448416,7597899,11
110402800,447772,7597030,448485,7597791,10
